E(level)(keV),Jπ(level),T1/2(level),E(γ)(keV),I(γ),M(γ)
897.17,"E(γ): From 166Ta ε decay., I(γ): From 166Ta ε decay.",,,,
1007.16,"E(γ): From 166Ta ε decay., I(γ): From 166Ta ε decay.",,,,
848.41,,,,,
1064.99,"E(γ): From 166Ta ε decay., I(γ): From 166Ta ε decay., M(γ): Q from 906γ-159γ(θ) in ε decay.",,,,
1162.7,"E(γ): From 166Ta ε decay., I(γ): From 166Ta ε decay.",,,,
1218.76,"E(γ): From 166Ta ε decay., I(γ): From 166Ta ε decay.",,,,
1060.2,,,,,
1218.8,,,,,
1332.41,"E(γ): From 166Ta ε decay., I(γ): From 166Ta ε decay.",,,,
1173.74,,,,,
1404.85,"E(γ): From 166Ta ε decay., I(γ): From 166Ta ε decay.",,,,
594.65,,,,,
1246.37,,,,,
1418.9,"E(γ): From 96Zr(74Ge,4nγ).",,,,
949,,,,,
1551.39,"E(γ): From 166Ta ε decay., I(γ): From 166Ta ε decay.",,,,
1080.86,,,,,
1603.05,"E(γ): From 166Ta ε decay., I(γ): From 166Ta ε decay.",,,,
1444.4,,,,,
1726.3,"E(γ): From 96Zr(74Ge,4nγ).",,,,
320,,,,,
1841.1,"E(γ): From 96Zr(74Ge,4nγ).",,,,
2376.5,"E(γ): From 96Zr(74Ge,4nγ).",,,,
2680.1,"E(γ): From 96Zr(74Ge,4nγ).",,,,
484,,,,,
2734.6,"E(γ): From 96Zr(74Ge,4nγ).",,,,
2793.1,"E(γ): From 96Zr(74Ge,4nγ).",,,,
3023.9,"E(γ): From 96Zr(74Ge,4nγ).",,,,
1054,,,,,
3085.8,"E(γ): From 96Zr(74Ge,4nγ).",,,,
547,,,,,
3231.4,"E(γ): From 96Zr(74Ge,4nγ).",,,,
737,,,,,
3375.1,"E(γ): From 96Zr(74Ge,4nγ).",,,,
3472.6,"E(γ): From 96Zr(74Ge,4nγ).",,,,
3515.8,"E(γ): From 96Zr(74Ge,4nγ).",,,,
952,,,,,
3585.6,"E(γ): From 96Zr(74Ge,4nγ).",,,,
3779.4,"E(γ): From 96Zr(74Ge,4nγ).",,,,
819,,,,,
3817.4,"E(γ): From 96Zr(74Ge,4nγ).",,,,
3835.2,"E(γ): From 96Zr(74Ge,4nγ).",,,,
3920.3,"E(γ): From 96Zr(74Ge,4nγ).",,,,
3972.1,"E(γ): From 96Zr(74Ge,4nγ).",,,,
4064.7,"E(γ): From 96Zr(74Ge,4nγ).",,,,
856,,,,,
4163.5,"E(γ): From 96Zr(74Ge,4nγ).",,,,
4228.5,"E(γ): From 96Zr(74Ge,4nγ).",,,,
4400.4,"E(γ): From 96Zr(74Ge,4nγ).",,,,
4443.4,"E(γ): From 96Zr(74Ge,4nγ).",,,,
997,,,,,
4459.3,"E(γ): From 96Zr(74Ge,4nγ).",,,,
4582,"E(γ): From 96Zr(74Ge,4nγ).",,,,
1373,,,,,
1575,,,,,
4641.4,"E(γ): From 96Zr(74Ge,4nγ).",,,,
478,,,,,
723,,,,,
4677.4,"E(γ): From 96Zr(74Ge,4nγ).",,,,
844,,,,,
4744.9,"E(γ): From 96Zr(74Ge,4nγ).",,,,
299,,,,,
1298,,,,,
4823.5,"E(γ): From 96Zr(74Ge,4nγ).",,,,
4937.1,"E(γ): From 96Zr(74Ge,4nγ).",,,,
355,,,,,
1491,,,,,
5005.6,"E(γ): From 96Zr(74Ge,4nγ).",,,,
632,,,,,
999,,,,,
5031.3,"E(γ): From 96Zr(74Ge,4nγ).",,,,
657,,,,,
1025,,,,,
5071.4,"E(γ): From 96Zr(74Ge,4nγ).",,,,
5086.9,"E(γ): From 96Zr(74Ge,4nγ)., M(γ): From DCO ratios in 96Zr(74Ge,4nγ), assigning intraband stretched Q transitions as (E2).",,,,
5157.5,"E(γ): From 96Zr(74Ge,4nγ).",,,,
5160,"E(γ): From 96Zr(74Ge,4nγ).",,,,
415,,,,,
1153,,,,,
5214.3,"E(γ): From 96Zr(74Ge,4nγ).",,,,
700,,,,,
5313,"E(γ): From 96Zr(74Ge,4nγ).",,,,
856,,,,,
5410,"E(γ): From 96Zr(74Ge,4nγ).",,,,
473,,,,,
5510.5,"E(γ): From 96Zr(74Ge,4nγ).",,,,
5665.9,"E(γ): From 96Zr(74Ge,4nγ).",,,,
5672.7,"E(γ): From 96Zr(74Ge,4nγ).",,,,
5687.1,"E(γ): From 96Zr(74Ge,4nγ).",,,,
527,,,,,
5720.4,"E(γ): From 96Zr(74Ge,4nγ).",,,,
1052,,,,,
5784.4,"E(γ): From 96Zr(74Ge,4nγ).",,,,
5798.5,"E(γ): From 96Zr(74Ge,4nγ).",,,,
1130,,,,,
5851.7,"E(γ): From 96Zr(74Ge,4nγ).",,,,
5897.3,"E(γ): From 96Zr(74Ge,4nγ).",,,,
5986,"E(γ): From 96Zr(74Ge,4nγ).",,,,
867,,,,,
5987.8,"E(γ): From 96Zr(74Ge,4nγ).",,,,
578,,,,,
6243,"E(γ): From 96Zr(74Ge,4nγ).",,,,
6310.6,"E(γ): From 96Zr(74Ge,4nγ).",,,,
623,,,,,
6331,"M(γ): From DCO ratios in 96Zr(74Ge,4nγ), assigning intraband stretched Q transitions as (E2).",,,,
6385.7,"E(γ): From 96Zr(74Ge,4nγ).",,,,
6441.4,"E(γ): From 96Zr(74Ge,4nγ).",,,,
6531,"E(γ): From 96Zr(74Ge,4nγ).",,,,
6536.5,"E(γ): From 96Zr(74Ge,4nγ).",,,,
6615,"E(γ): From 96Zr(74Ge,4nγ).",,,,
1208,,,,,
6641.3,"E(γ): From 96Zr(74Ge,4nγ).",,,,
6650.6,"E(γ): From 96Zr(74Ge,4nγ).",,,,
663,,,,,
6978,"E(γ): From 96Zr(74Ge,4nγ).",,,,
7006.6,"E(γ): From 96Zr(74Ge,4nγ).",,,,
696,,,,,
7078.2,"E(γ): From 96Zr(74Ge,4nγ).",,,,
1155,,,,,
7145,"E(γ): From 96Zr(74Ge,4nγ).",,,,
7199.4,"E(γ): From 96Zr(74Ge,4nγ).",,,,
7314,"E(γ): From 96Zr(74Ge,4nγ).",,,,
7342,"E(γ): From 96Zr(74Ge,4nγ).",,,,
7363.6,"E(γ): From 96Zr(74Ge,4nγ).",,,,
713,,,,,
7392.1,"E(γ): From 96Zr(74Ge,4nγ).",,,,
1195,,,,,
7444,"E(γ): From 96Zr(74Ge,4nγ).",,,,
7713.6,"E(γ): From 96Zr(74Ge,4nγ).",,,,
707,,,,,
7770,"E(γ): From 96Zr(74Ge,4nγ).",,,,
7899,"E(γ): From 96Zr(74Ge,4nγ).",,,,
7954,"E(γ): From 96Zr(74Ge,4nγ).",,,,
8007,"E(γ): From 96Zr(74Ge,4nγ).",,,,
8062.7,"E(γ): From 96Zr(74Ge,4nγ).",,,,
699,,,,,
8222,"E(γ): From 96Zr(74Ge,4nγ).",,,,
8303,"E(γ): From 96Zr(74Ge,4nγ).",,,,
8426.4,"E(γ): From 96Zr(74Ge,4nγ).",,,,
713,,,,,
8767,"E(γ): From 96Zr(74Ge,4nγ).",,,,
8808.1,"E(γ): From 96Zr(74Ge,4nγ).",,,,
745,,,,,
8817,"E(γ): From 96Zr(74Ge,4nγ).",,,,
8871,"E(γ): From 96Zr(74Ge,4nγ).",,,,
9116,"E(γ): From 96Zr(74Ge,4nγ).",,,,
9212,"E(γ): From 96Zr(74Ge,4nγ).",,,,
786,,,,,
9216,"E(γ): From 96Zr(74Ge,4nγ).",,,,
9635,"E(γ): From 96Zr(74Ge,4nγ).",,,,
827,,,,,
9682,"E(γ): From 96Zr(74Ge,4nγ).",,,,
9734,"E(γ): From 96Zr(74Ge,4nγ).",,,,
9771,"E(γ): From 96Zr(74Ge,4nγ).",,,,
10009,"E(γ): From 96Zr(74Ge,4nγ).",,,,
10080,"E(γ): From 96Zr(74Ge,4nγ).",,,,
867,,,,,
10167,"E(γ): From 96Zr(74Ge,4nγ).",,,,
10721,"E(γ): From 96Zr(74Ge,4nγ).",,,,
10933,"E(γ): From 96Zr(74Ge,4nγ).",,,,
10994,"E(γ): From 96Zr(74Ge,4nγ).",,,,
11298,"E(γ): From 96Zr(74Ge,4nγ).",,,,
11751,"E(γ): From 96Zr(74Ge,4nγ).",,,,
11928,"E(γ): From 96Zr(74Ge,4nγ).",,,,
12005,"E(γ): From 96Zr(74Ge,4nγ).",,,,
12289,"E(γ): From 96Zr(74Ge,4nγ).",,,,
12762,"E(γ): From 96Zr(74Ge,4nγ).",,,,
13038,"E(γ): From 96Zr(74Ge,4nγ).",,,,
13328,"E(γ): From 96Zr(74Ge,4nγ).",,,,
13800,"E(γ): From 96Zr(74Ge,4nγ).",,,,
14096,"E(γ): From 96Zr(74Ge,4nγ).",,,,
14424,"E(γ): From 96Zr(74Ge,4nγ).",,,,
14879,"E(γ): From 96Zr(74Ge,4nγ).",,,,
15575,"E(γ): From 96Zr(74Ge,4nγ).",,,,
16006,"E(γ): From 96Zr(74Ge,4nγ).",,,,
236.0+X,"E(γ): From 96Zr(74Ge,4nγ).",,,,
486.0+X,"E(γ): From 96Zr(74Ge,4nγ).",,,,
486,,,,,
759.0+X,"E(γ): From 96Zr(74Ge,4nγ).",,,,
523,,,,,
1064.1+X,"E(γ): From 96Zr(74Ge,4nγ).",,,,
578,,,,,
1387.7+X,"E(γ): From 96Zr(74Ge,4nγ).",,,,
629,,,,,
1734.9+X,"E(γ): From 96Zr(74Ge,4nγ).",,,,
671,,,,,
2095.8+X,"E(γ): From 96Zr(74Ge,4nγ).",,,,
708,,,,,
2475.9+X,"E(γ): From 96Zr(74Ge,4nγ).",,,,
741,,,,,
2860.7+X,"E(γ): From 96Zr(74Ge,4nγ).",,,,
765,,,,,
3256.1+X,"E(γ): From 96Zr(74Ge,4nγ).",,,,
780,,,,,
3665.0+X,"E(γ): From 96Zr(74Ge,4nγ).",,,,
804,,,,,
4083.1+X,"E(γ): From 96Zr(74Ge,4nγ).",,,,
827,,,,,
204.0+Y,"E(γ): From 96Zr(74Ge,4nγ).",,,,
438.0+Y,"E(γ): From 96Zr(74Ge,4nγ).",,,,
438,,,,,
697.0+Y,"E(γ): From 96Zr(74Ge,4nγ).",,,,
493,,,,,
977.0+Y,"E(γ): From 96Zr(74Ge,4nγ).",,,,
539,,,,,
1274.0+Y,"E(γ): From 96Zr(74Ge,4nγ).",,,,
577,,,,,
1582.0+Y,"E(γ): From 96Zr(74Ge,4nγ).",,,,
605,,,,,
1905.0+Y,"E(γ): From 96Zr(74Ge,4nγ).",,,,
631,,,,,
2240.0+Y,"E(γ): From 96Zr(74Ge,4nγ).",,,,
658,,,,,
